"marker_id","chr","pos"
"25533-1",1,0.025533
"153163-1",1,0.153163
"420700-1",1,0.4207
"678082-1",1,0.678082
"809670-1",1,0.80967
"1074557-1",1,1.074557
"1226398-1",1,1.226398
"1450659-1",1,1.450659
"1603799-1",1,1.603799
"1654472-1",1,1.654472
"1801670-1",1,1.80167
"2173426-1",1,2.173426
"2218724-1",1,2.218724
"2288021-1",1,2.288021
"2304835-1",1,2.304835
"2446525-1",1,2.446525
"2714174-1",1,2.714174
"2746825-1",1,2.746825
"2766957-1",1,2.766957
"3172751-1",1,3.172751
"3233797-1",1,3.233797
"3620893-1",1,3.620893
"3676919-1",1,3.676919
"4454310-1",1,4.45431
"7044090-1",1,7.04409
"21037065-1",1,21.037065
"67512259-1",1,67.512259
"69227404-1",1,69.227404
"69430373-1",1,69.430373
"69683843-1",1,69.683843
"72402911-1",1,72.402911
"72831305-1",1,72.831305
"74314733-1",1,74.314733
"76672459-1",1,76.672459
"83444565-1",1,83.444565
"83852566-1",1,83.852566
"83886078-1",1,83.886078
"84030652-1",1,84.030652
"84453015-1",1,84.453015
"84791385-1",1,84.791385
"84847821-1",1,84.847821
"84851813-1",1,84.851813
"85091184-1",1,85.091184
"85115390-1",1,85.11539
"85349043-1",1,85.349043
"85393681-1",1,85.393681
"85528366-1",1,85.528366
"85588973-1",1,85.588973
"85769178-1",1,85.769178
"85919899-1",1,85.919899
"86093836-1",1,86.093836
"86171125-1",1,86.171125
"86467453-1",1,86.467453
"86636577-1",1,86.636577
"86652077-1",1,86.652077
"86749853-1",1,86.749853
"86770216-1",1,86.770216
"86867353-1",1,86.867353
"86993750-1",1,86.99375
"87007323-1",1,87.007323
"87315874-1",1,87.315874
"87424402-1",1,87.424402
"87466579-1",1,87.466579
"87520611-1",1,87.520611
"87626733-1",1,87.626733
"87876494-1",1,87.876494
"88132973-1",1,88.132973
"88208601-1",1,88.208601
"88220493-1",1,88.220493
"88485385-1",1,88.485385
"88779496-1",1,88.779496
"89170623-1",1,89.170623
"89263108-1",1,89.263108
"89516529-1",1,89.516529
"89692004-1",1,89.692004
"89952387-1",1,89.952387
"4409029-2",2,4.409029
"28521289-2",2,28.521289
"30762028-2",2,30.762028
"31349025-2",2,31.349025
"32325113-2",2,32.325113
"33753248-2",2,33.753248
"34231799-2",2,34.231799
"34944547-2",2,34.944547
"35068159-2",2,35.068159
"35155443-2",2,35.155443
"36411382-2",2,36.411382
"36572189-2",2,36.572189
"36706932-2",2,36.706932
"36842294-2",2,36.842294
"36952225-2",2,36.952225
"37383115-2",2,37.383115
"37722592-2",2,37.722592
"37910463-2",2,37.910463
"37964685-2",2,37.964685
"38096910-2",2,38.09691
"38320859-2",2,38.320859
"38420040-2",2,38.42004
"38733705-2",2,38.733705
"38920939-2",2,38.920939
"39021430-2",2,39.02143
"39279207-2",2,39.279207
"39337126-2",2,39.337126
"39609957-2",2,39.609957
"39840205-2",2,39.840205
"39990289-2",2,39.990289
"40330149-2",2,40.330149
"40402482-2",2,40.402482
"40555387-2",2,40.555387
"40758834-2",2,40.758834
"40903529-2",2,40.903529
"41198227-2",2,41.198227
"41438753-2",2,41.438753
"41701555-2",2,41.701555
"42037927-2",2,42.037927
"42396706-2",2,42.396706
"42548978-2",2,42.548978
"42818735-2",2,42.818735
"42834911-2",2,42.834911
"43008253-2",2,43.008253
"43635207-2",2,43.635207
"43946518-2",2,43.946518
"46518057-2",2,46.518057
"47093589-2",2,47.093589
"47196922-2",2,47.196922
"47296020-2",2,47.29602
"47421143-2",2,47.421143
"47468777-2",2,47.468777
"48052413-2",2,48.052413
"48113374-2",2,48.113374
"48200705-2",2,48.200705
"48330716-2",2,48.330716
"48346708-2",2,48.346708
"48407928-2",2,48.407928
"48497154-2",2,48.497154
"48532970-2",2,48.53297
"48900086-2",2,48.900086
"49087421-2",2,49.087421
"49269256-2",2,49.269256
"49452377-2",2,49.452377
"49813323-2",2,49.813323
"61735-3",3,0.061735
"79022-3",3,0.079022
"143750-3",3,0.14375
"466164-3",3,0.466164
"867839-3",3,0.867839
"931690-3",3,0.93169
"1198112-3",3,1.198112
"1257561-3",3,1.257561
"1410071-3",3,1.410071
"1543024-3",3,1.543024
"1676845-3",3,1.676845
"1812372-3",3,1.812372
"12324611-3",3,12.324611
"28417648-3",3,28.417648
"32336546-3",3,32.336546
"45597186-3",3,45.597186
"56643506-3",3,56.643506
"57499166-3",3,57.499166
"57539201-3",3,57.539201
"57704490-3",3,57.70449
"57730551-3",3,57.730551
"58231771-3",3,58.231771
"61455688-3",3,61.455688
"61519000-3",3,61.519
"61881530-3",3,61.88153
"30448-4",4,0.030448
"346622-4",4,0.346622
"452459-4",4,0.452459
"516524-4",4,0.516524
"1767482-4",4,1.767482
"1896188-4",4,1.896188
"1975770-4",4,1.97577
"2196152-4",4,2.196152
"2281624-4",4,2.281624
"2417662-4",4,2.417662
"2573303-4",4,2.573303
"2594049-4",4,2.594049
"2771721-4",4,2.771721
"2773272-4",4,2.773272
"3143736-4",4,3.143736
"3154286-4",4,3.154286
"3400381-4",4,3.400381
"3622994-4",4,3.622994
"3902431-4",4,3.902431
"4053291-4",4,4.053291
"4375100-4",4,4.3751
"4654334-4",4,4.654334
"4711225-4",4,4.711225
"4936160-4",4,4.93616
"5241676-4",4,5.241676
"5295604-4",4,5.295604
"5460003-4",4,5.460003
"5520463-4",4,5.520463
"5548773-4",4,5.548773
"5825786-4",4,5.825786
"6186118-4",4,6.186118
"6219502-4",4,6.219502
"6972061-4",4,6.972061
"7033228-4",4,7.033228
"11229061-4",4,11.229061
"11593191-4",4,11.593191
"29987657-4",4,29.987657
"50180826-4",4,50.180826
"51439016-4",4,51.439016
"51678315-4",4,51.678315
"52252379-4",4,52.252379
"52505792-4",4,52.505792
"53408358-4",4,53.408358
"53677268-4",4,53.677268
"53711645-4",4,53.711645
"54159343-4",4,54.159343
"54341443-4",4,54.341443
"54504458-4",4,54.504458
"54809312-4",4,54.809312
"54845898-4",4,54.845898
"54943259-4",4,54.943259
"55015520-4",4,55.01552
"55077232-4",4,55.077232
"55204967-4",4,55.204967
"55510192-4",4,55.510192
"55747280-4",4,55.74728
"55937252-4",4,55.937252
"56476705-4",4,56.476705
"56571492-4",4,56.571492
"56749736-4",4,56.749736
"56774378-4",4,56.774378
"57014586-4",4,57.014586
"57162760-4",4,57.16276
"57404058-4",4,57.404058
"57835360-4",4,57.83536
"58082302-4",4,58.082302
"58084439-4",4,58.084439
"58175893-4",4,58.175893
"58211220-4",4,58.21122
"58250466-4",4,58.250466
"58341655-4",4,58.341655
"58658019-4",4,58.658019
"58745615-4",4,58.745615
"58779256-4",4,58.779256
"58808938-4",4,58.808938
"58874242-4",4,58.874242
"58889329-4",4,58.889329
"59390145-4",4,59.390145
"59563628-4",4,59.563628
"59679673-4",4,59.679673
"59836679-4",4,59.836679
